InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004321,1118080061746.0,20.9,0.49,231.84647999999999,19.4781,56425.31885,0.0
1004321,1118080061746.0,20.17,0.33,231.84596000000002,19.47784,56425.33246000001,0.0
1004321,1118080061746.0,19.78,0.27,231.84659,19.477610000000002,56445.32257999999,0.0
1004321,1118080061746.0,20.75,0.46,231.84588,19.47795,56445.3384,0.0
1004321,1118080061746.0,21.13,0.58,231.84547999999998,19.47778,56445.34637000001,0.0
1004321,1118080061746.0,19.93,0.27,231.84575,19.478070000000002,56452.35415,0.0
1004321,1118080061746.0,20.13,0.33,231.84582000000003,19.478,56459.31215,0.0
1004321,1118080061903.0,20.87,0.48,231.82877000000002,19.48241,53525.34208,0.0
1004321,1118080061903.0,19.6,0.24,231.82976000000002,19.48092,53827.44246000001,0.0
1004321,1118080061903.0,20.22,0.33,231.82862999999998,19.48219,53827.46537000001,0.0
1004321,1118080061903.0,19.62,0.24,231.82861,19.48123,53850.29504,0.0
1004321,1118080061903.0,19.02,0.18,231.82897000000003,19.480179999999997,53819.486079999995,0.0
1004321,1118080061903.0,20.21,0.31,231.82911000000001,19.48199,53992.13809,0.0
1004321,1118080061903.0,20.49,0.37,231.82872000000003,19.48162,54201.400689999995,0.0
1004321,1118080061903.0,20.92,0.46,231.82892999999999,19.48162,54117.50361,0.0
1004321,1118080061903.0,19.96,0.27,231.82905,19.482329999999997,54117.5103,0.0
1004321,1118080061903.0,20.46,0.41,231.8287,19.47949,54267.26251,0.0
1004321,1118080061903.0,19.63,0.23,231.82903,19.47944,54175.39727,0.0
1004321,1118080061903.0,19.73,0.28,231.82927999999998,19.481720000000006,54228.39773,0.0
1004321,1118080061903.0,20.95,0.49,231.82845,19.48206,54346.15446000001,0.0
1004321,1118080061903.0,20.88,0.46,231.82892999999999,19.48185,54557.50041,0.0
1004321,1118080061903.0,21.06,0.51,231.82877000000002,19.48199,54625.32466000001,0.0
1004321,1118080061903.0,20.58,0.38,231.82872000000003,19.47949,54588.40464,0.0
1004321,1118080061903.0,20.18,0.3,231.82875,19.479470000000006,54588.4103,0.0
1004321,1118080061903.0,19.98,0.28,231.82792999999998,19.48171,54944.45032,0.0
1004321,1118080061903.0,19.42,0.21,231.82885,19.4821,54997.28637,0.0
1004321,1118080061903.0,20.3,0.33,231.8285,19.4797,54997.29599,0.0
1004321,1118080061903.0,19.82,0.25,231.82842000000002,19.48245,54891.489610000004,0.0
1004321,1118080061903.0,20.33,0.34,231.82861,19.48205,54912.36098,0.0
1004321,1118080061903.0,20.51,0.37,231.82912000000002,19.482310000000002,54919.37409,0.0
1004321,1118080061903.0,20.13,0.3,231.82905,19.48236,54978.33922,0.0
1004321,1118080061903.0,20.16,0.33,231.82741000000001,19.48317,55096.12854,0.0
1004321,1118080061903.0,21.26,0.56,231.82854,19.4819,55293.42607,0.0
1004321,1118080061903.0,19.3,0.2,231.82904,19.48037,55303.34686000001,0.0
1004321,1118080061903.0,19.65,0.24,231.82907999999998,19.479470000000006,55303.360629999996,0.0
1004321,1118080061903.0,20.69,0.41,231.82871,19.48189,55350.3112,0.0
1004321,1118080061903.0,21.12,0.54,231.82891,19.4821,55350.31802000001,0.0
1004321,1118080061903.0,20.66,0.4,231.82842000000002,19.48283,55364.285489999995,0.0
1004321,1118080061903.0,19.93,0.27,231.82925,19.481679999999997,55364.29465,0.0
1004321,1118080061903.0,20.42,0.35,231.82852000000003,19.4821,55325.36075,0.0
